,category,city,company_name,geo,job_title,job_type,post_date,salary_offered,state,url,average_salary,Salary
703,Accounting,Melbourne,Page Personnel Finance,AU,Payroll Systems Administrator,Contract/Temp,2018-04-16T23:48:27Z,$100k - $101k p.a.,Bayside & South Eastern Suburbs,https://www.seek.com.au/job/36001363,100.5,100500.0
704,Information & Communication Technology,Melbourne,Corporate Initiatives,AU,Sales Support Role (Audio Visual),Full Time,2018-04-16T10:30:32Z,extra 2 weeks family friendly leave + bonus,CBD & Inner Suburbs,https://www.seek.com.au/job/35998962,2.0,1.0
705,Human Resources & Recruitment,Sydney,"Pharmaceutical & Medical Professionals, an HPG Business",AU,Recruitment Coordinator,Full Time,2018-04-16T22:59:34Z,$50k - $55k p.a. + Super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/36000500,52.5,52500.0
706,Accounting,Melbourne,Lawson Delaney,AU,Senior Accountant,Full Time,2018-04-16T07:15:52Z,"85,000",CBD & Inner Suburbs,https://www.seek.com.au/job/35997770,42.5,85000.0
707,Design & Architecture,Melbourne,Hays Architecture,AU,Revit Interior Documenter,Full Time,2018-04-15T01:00:09Z,$65k - $75k p.a.,CBD & Inner Suburbs,https://www.seek.com.au/job/35987167,70.0,70000.0
708,Sport & Recreation,Melbourne,Jetts Fitness Coburg,AU,Club Manager - Jetts Coburg (Sydney Road),Full Time,2018-04-15T02:08:59Z,50K base + super + generous bonus structure,Northern Suburbs,https://www.seek.com.au/job/35987243,50.0,50000.0
709,Legal,Melbourne,Legal People,AU,Commercial/Technology Lawyer: 2-4 yrs PQE,Full Time,2018-04-15T06:30:16Z,Call Sharon Henderson: 9098-8776,CBD & Inner Suburbs,https://www.seek.com.au/job/35987554,8937.0,8937.0
710,Real Estate & Property,Melbourne,Gough Recruitment (VIC) Pty Ltd,AU,Property Manager,Full Time,2018-04-15T00:30:27Z,"$65,000 + Super + Fuel Card + Comms",CBD & Inner Suburbs,https://www.seek.com.au/job/35987139,32.5,65000.0
711,Retail & Consumer Products,Sydney,gdm Consultancy Group,AU,Regional Manager,Full Time,2018-04-15T07:37:55Z,$80k to $90k + Vehicle,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35987644,85.0,85000.0
712,Information & Communication Technology,Melbourne,Helix Technology Services,AU,Senior Network Engineer - long term contract available,Contract/Temp,2018-04-15T07:30:03Z,$70 - $110 an hour dependent on exp.,CBD & Inner Suburbs,https://www.seek.com.au/job/35987629,90.0,90.0
713,Legal,Sydney,Enigma HR Pty Ltd,AU,Migration Agent/Case Manager,Full Time,2018-04-15T01:50:09Z,up to $65K base,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35987224,65.0,65000.0
714,Accounting,Melbourne,Randstad - Accounting,AU,Analyst - Fixed Assets ,Contract/Temp,2018-04-15T00:42:07Z,$50 - $55 p.h. + super ,CBD & Inner Suburbs,https://www.seek.com.au/job/35987153,52.5,52.5
715,Education & Training,Melbourne,anzuk Education,AU,Primary Teacher,Contract/Temp,2018-04-15T03:30:39Z,$305+ a day based on experience,Western Suburbs,https://www.seek.com.au/job/35987320,305.0,305.0
716,Administration & Office Support,Melbourne,Conquest Personnel P/L,AU,Administration Assistant to Executive Officer,Full Time,2018-04-15T01:57:31Z,$50k - $60k p.a. + performance based lucrative rew,CBD & Inner Suburbs,https://www.seek.com.au/job/35987233,55.0,55000.0
717,Insurance & Superannuation,Sydney,B & K Consulting,AU,Team Leader - Life Claims,Full Time,2018-04-15T00:27:22Z,$120k - $140k p.a. + Bonus + Benefits,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35987134,130.0,130000.0
718,Information & Communication Technology,Sydney,Talenza,AU,Head of Engineering - **Award-winning/Market Leader - FinTech**,Full Time,2018-04-15T14:51:54Z,$180k - $200k p.a.,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35988056,190.0,190000.0
719,"Manufacturing, Transport & Logistics",Sydney,Randstad - Industrial,AU,HR/HC Agitator Cement Truck Driver - Full Time Permanent ,Full Time,2018-04-15T08:58:37Z,$25 - $30 p.h. + lots of overtimee,South West & M5 Corridor,https://www.seek.com.au/job/35987759,27.5,27.5
720,Construction,Brisbane,SSA Pty Limited,AU,Construction Surveyor - Large Infrastructure,Full Time,2018-04-15T06:30:16Z,"to $120,000",CBD & Inner Suburbs,https://www.seek.com.au/job/35987557,60.0,120000.0
721,Administration & Office Support,Melbourne,Natural Pain Solutions Australia,AU,Admin/Clinical Assistant for Natural Health Clinic in Ringwood,Casual/Vacation,2018-04-15T03:43:37Z,$26.61 per hour (casual rate),Eastern Suburbs,https://www.seek.com.au/job/35987330,43.5,43.5
722,Marketing & Communications,Sydney,B & K Consulting,AU,Acquisition Marketing Manager - Life Insurance,Full Time,2018-04-15T00:21:25Z,$120k - $150k p.a.,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35987125,135.0,135000.0
723,Healthcare & Medical,Sydney,Pettit Pharma & Device Search Pty Ltd,AU,Medical Device Sales,Full Time,2018-04-15T03:30:34Z,$150K package,North Shore & Northern Beaches,https://www.seek.com.au/job/35987318,150.0,75000.0
724,Construction,Sydney,Simpl Recruitment,AU,General Foreman - Apartments and Commercial Projects on offer.,Full Time,2018-04-15T01:30:22Z,upto $170k package,Parramatta & Western Suburbs,https://www.seek.com.au/job/35987193,170.0,85000.0
725,Accounting,Melbourne,Randstad - Accounting,AU,Banking Reconciliations Officer ,Contract/Temp,2018-04-15T00:51:22Z,$58k - $62k p.a. + super pro rata,CBD & Inner Suburbs,https://www.seek.com.au/job/35987158,60.0,60000.0
726,Construction,Melbourne,Stratacon Professional Recruitment Pty  Ltd,AU,Site Manager - $5m Commercial CBD Fit out / Refurb,Full Time,2018-04-15T20:00:25Z,$120K-$150k,CBD & Inner Suburbs,https://www.seek.com.au/job/35988157,135.0,135000.0
727,Real Estate & Property,Sydney,Gough Property & Real Estate Recruiters,AU,Personal Assistant/Sales Associate to the Principal - Double Bay,Full Time,2018-04-15T05:45:20Z,Up to $70K + Commissions,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35987501,70.0,70000.0
728,Design & Architecture,Sydney,Ivory Group,AU,Urban Planner - Contract,Contract/Temp,2018-04-15T20:30:21Z,$50 - $60 p/h + Super,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35988197,55.0,55.0
729,Trades & Services,Perth,Allstate Recruitment Pty Ltd,AU,Electricians Required for Commercial Work,Contract/Temp,2018-04-15T02:07:35Z,$50 per hour plus Super,"CBD, Inner & Western Suburbs",https://www.seek.com.au/job/35987242,50.0,50.0
730,Call Centre & Customer Service,Sydney,Porterallen Sydney,AU,Customer Service Consultant,Full Time,2018-04-15T05:00:10Z,$55k - $65k p.a. + Bonus,"CBD, Inner West & Eastern Suburbs",https://www.seek.com.au/job/35987438,60.0,60000.0
731,Healthcare & Medical,Sydney,Pettit Pharma & Device Search Pty Ltd,AU,National Sales Manager,Full Time,2018-04-15T03:00:31Z,$130K base + super + car + $45K OTE,Ryde & Macquarie Park,https://www.seek.com.au/job/35987283,87.5,87500.0
